FID,token,names,latitude,longitude,identifier,counts
56,Tarragona,"['Col. Tarraco', 'Col. Iulia Urbs Triumphalis', 'Tarragona', 'Ταρράκων']",41.114588,1.258617,http://pleiades.stoa.org/places/246349,1
57,France,"['Corsica', 'Κύρνος', 'Kyrnos', 'Κύρνος']",42,9,http://pleiades.stoa.org/places/472063,1
58,Switzerland,['Alpes Graiae'],45.25,6.75,http://pleiades.stoa.org/places/167637,1
59,Languedoc,"['Taurus', 'stagna Volcarum', 'Volcarum Stagna']",43.25,3.75,http://pleiades.stoa.org/places/148211,1
60,Loire,"['Liger', 'Ledo', 'Loire', 'Λίγηρ']",45.6203426,4.2283744,http://pleiades.stoa.org/places/138420,1
61,Leyden,"['Matilo', 'Roomburg, Leiden', 'Leyden', 'Leiden', 'Leyde', 'Leida', 'ライデン', 'Лейден', 'Λέιντεν', 'لايدن', '莱顿', 'লাইডেন', 'ليدن', 'Lejdeni', 'Lejda', 'Lugdunum Batavorum']",52.150265,4.518428,http://pleiades.stoa.org/places/99008,1
62,the Lower Germany,"['Visurgis', 'Weser', 'Οὐίσουργις']",52.54852865,9.0083933,http://pleiades.stoa.org/places/99060,1
63,the Roman province,['Cyprus'],35.14052197,33.40349071,http://pleiades.stoa.org/places/981516,2
64,England,['Ancalites'],?,?,http://pleiades.stoa.org/places/83811,2
65,Wales,['Silures'],51.5,-3.5,http://pleiades.stoa.org/places/79686,2
66,Belgae,['Belgae'],51.5,-2.5,http://pleiades.stoa.org/places/79326,1
67,South Wales,['Silures'],51.5,-3.5,http://pleiades.stoa.org/places/79686,1
68,Norfolk,['Norfolk Street'],52.632569,-1.15091,http://pleiades.stoa.org/places/79617,1
69,Hercules,"['Scombraria', 'Hercules', 'Isla Escombreras', 'Scombraria Ins.']",37.5,-0.5,http://pleiades.stoa.org/places/266032,4
70,Antoninus,"['Amphitheatre in Trier', 'Das Amphitheater in Trier']",49.74801075,6.64883955,http://pleiades.stoa.org/places/588236457,3
71,Po,"['Padus', 'Eridanus', 'Po', 'Ἠριδανὸς']",45.25,11.25,http://pleiades.stoa.org/places/393469,1
72,Genoa,"['Ianua', 'Genua', 'Genova', 'Gênes', 'Genoa', 'Γένουα', 'Genès', 'Génova', 'جنوة', 'ジェノヴァ', 'Генуя', 'जेनोआ', 'Genes', 'Cenova']",44.405366,8.929235,http://pleiades.stoa.org/places/383664,1
73,Venice,"['Venezia', 'Venise', 'Venice', 'Venedig', 'Venecia', 'البندقية', 'Βενετία', 'ヴェネツィア', 'Veneza', 'Венеция', '威尼斯', 'ベニス', 'ヴェニス', 'Venetia', 'Venediku', 'Venedik', 'Wenecja']",45.4375,12.335833,http://pleiades.stoa.org/places/818739154,1
74,Adige,"['Athesis', 'Atesis', 'Adige', 'Etsch']",46.834444,10.514722,http://pleiades.stoa.org/places/393383,1
75,Sabines,"['Varia', 'Vicovaro']",42.018193,12.896194,http://pleiades.stoa.org/places/423115,1
76,Volsci,"['Volsci', 'Οὐόλσκοι']",41.25,13.25,http://pleiades.stoa.org/places/433208,1
77,Samnites,['Samnites'],41.25,14.75,http://pleiades.stoa.org/places/442765,1
78,Istria,"['Histria', 'Histropolis', 'Istropolis', 'Istros', 'Istria', 'Ἰστρία', 'Caranasuf', 'Caranasut', 'Istrus', 'Karanasuf']",44.5476,28.7748,http://pleiades.stoa.org/places/216839,1
79,the south-east,"['Indicum Mare', 'Indian Ocean', 'بحر الهند وفارس والصين']",-20,80,http://pleiades.stoa.org/places/39352,1
80,Dalmatia,"['Dalmatia', 'Δαλματία']",44.5,15.5,http://pleiades.stoa.org/places/197240,1
81,Thrace,"['Thrake', 'Θρᾴκη', 'Thrace', 'ܬܪܐܩܝܐ', 'Thrakē', 'Θράκη', 'Thracia', 'Thrakia']",42.5,27.5,http://pleiades.stoa.org/places/1001889,2
82,Macedonia,"['Macedonia', 'Μακεδονία', 'ܡܩܕܘܢܝܐ']",41.25,21.75,http://pleiades.stoa.org/places/491656,2
83,Greece,"['Πελοποννήσος', 'Peloponnesus', 'Ἀπία', 'Apia', '’Ιναχία', 'Inachia', 'Πελοπόννησος', 'Pelopónnēsos, Peloponnesos', 'Πελοπόννασος', 'Pelopónnasos, Peloponnasos', 'Peloponnes']",37.54,22.15,http://pleiades.stoa.org/places/570577,10
84,Alps,"['Alpes Iuliae', 'Alpes Venetae', 'Julian Alps', 'Monte Tricorno']",46.33,13.75,http://pleiades.stoa.org/places/197108,3
85,Inn,"['Töging am Inn', 'Töging', 'توغينغ', 'Тёгинг-на-Инне', '因河畔特金格', 'Töging a. Inn']",48.25475,12.586775,http://pleiades.stoa.org/places/118994,1
